1	cao_cao	조조	원본	assets/generals/busts/cao_cao.png
2	cao_xing	조흥	원본	assets/generals/busts/cao_xing.png
3	dian_wei	전위	원본	assets/generals/busts/dian_wei.png
4	dong_zhuo	동탁	원본	assets/generals/busts/dong_zhuo.png
5	gan_ning	감녕	원본	assets/generals/busts/gan_ning.png
6	guan_yu	관우	원본	assets/generals/busts/guan_yu.png
7	guo_jia	곽가	원본	assets/generals/busts/guo_jia.png
8	huang_gai	황개	원본	assets/generals/busts/huang_gai.png
9	huang_zhong	황충	원본	assets/generals/busts/huang_zhong.png
10	liu_bei	유비	원본	assets/generals/busts/liu_bei.png
11	lu_bu	여포	원본	assets/generals/busts/lu_bu.png
12	lu_xun	육손	원본	assets/generals/busts/lu_xun.png
13	ma_chao	마초	원본	assets/generals/busts/ma_chao.png
14	meng_huo	맹획	원본	assets/generals/busts/meng_huo.png
15	pang_tong	방통	원본	assets/generals/busts/pang_tong.png
16	sima_yi	사마의	원본	assets/generals/busts/sima_yi.png
17	sun_ce	손책	원본	assets/generals/busts/sun_ce.png
18	sun_quan	손권	원본	assets/generals/busts/sun_quan.png
19	taishi_ci	태사자	원본	assets/generals/busts/taishi_ci.png
20	wen_chou	문추	원본	assets/generals/busts/wen_chou.png
21	xiahou_dun	하후돈	원본	assets/generals/busts/xiahou_dun.png
22	xu_chu	허저	원본	assets/generals/busts/xu_chu.png
23	xu_huang	서황	원본	assets/generals/busts/xu_huang.png
24	yan_liang	안량	원본	assets/generals/busts/yan_liang.png
25	yuan_shao	원소	원본	assets/generals/busts/yuan_shao.png
26	zhang_fei	장비	원본	assets/generals/busts/zhang_fei.png
27	zhang_liao	장료	원본	assets/generals/busts/zhang_liao.png
28	zhao_yun	조운	원본	assets/generals/busts/zhao_yun.png
29	zhou_yu	주유	원본	assets/generals/busts/zhou_yu.png
30	zhuge_liang	제갈량	원본	assets/generals/busts/zhuge_liang.png
31	cao_ang	조앙	직접생성	assets/generals/busts_fast_170/cao_ang.png
32	cao_hong	조홍	직접생성	assets/generals/busts_fast_170/cao_hong.png
33	cao_pi	조비	직접생성	assets/generals/busts_fast_170/cao_pi.png
34	cao_ren	조인	직접생성	assets/generals/busts_fast_170/cao_ren.png
35	cao_rui	조예	직접생성	assets/generals/busts_fast_170/cao_rui.png
36	cao_shuang	조상	직접생성	assets/generals/busts_fast_170/cao_shuang.png
37	cao_xiu	조휴	직접생성	assets/generals/busts_fast_170/cao_xiu.png
38	cao_zhang	조창	직접생성	assets/generals/busts_fast_170/cao_zhang.png
39	cao_zhen	조진	직접생성	assets/generals/busts_fast_170/cao_zhen.png
40	cao_zhi	조식	직접생성	assets/generals/busts_fast_170/cao_zhi.png
41	cheng_yu	정욱	직접생성	assets/generals/busts_fast_170/cheng_yu.png
42	deng_ai	등애	직접생성	assets/generals/busts_fast_170/deng_ai.png
43	han_sui	한수	직접생성	assets/generals/busts_fast_170/han_sui.png
44	jia_xu	가후	직접생성	assets/generals/busts_fast_170/jia_xu.png
45	li_dian	이전	직접생성	assets/generals/busts_fast_170/li_dian.png
46	lu_kang	육항	직접생성	assets/generals/busts_fast_170/lu_kang.png
47	man_chong	만총	직접생성	assets/generals/busts_fast_170/man_chong.png
48	xiahou_ba	하후패	직접생성	assets/generals/busts_fast_170/xiahou_ba.png
49	xiahou_yuan	하후연	직접생성	assets/generals/busts_fast_170/xiahou_yuan.png
50	xun_you	순유	직접생성	assets/generals/busts_fast_170/xun_you.png
51	xun_yu	순욱	직접생성	assets/generals/busts_fast_170/xun_yu.png
52	yu_jin	우금	직접생성	assets/generals/busts_fast_170/yu_jin.png
53	yue_jin	악진	직접생성	assets/generals/busts_fast_170/yue_jin.png
54	zhang_he	장합	직접생성	assets/generals/busts_fast_170/zhang_he.png
55	zhong_yao	종요	직접생성	assets/generals/busts_fast_170/zhong_yao.png
56	cao_chun	조순	후보70색감	assets/generals/busts_fast_170/cao_chun.png
